;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2/18/2017 1:27:57 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0xF00BEF7D  	GOTO        5882
_interrupt:
;ProgramMode_Test.c,31 :: 		void interrupt(){
0x0008	0xF01EC000  	MOVFF       R0, 30
0x000C	0xF01DC001  	MOVFF       R1, 29
0x0010	0xF01CC002  	MOVFF       R2, 28
0x0014	0xF01BC003  	MOVFF       R3, 27
0x0018	0xF01AC004  	MOVFF       R4, 26
0x001C	0xF019C005  	MOVFF       R5, 25
0x0020	0xF018C008  	MOVFF       R8, 24
0x0024	0xF017C009  	MOVFF       R9, 23
0x0028	0xF016C00A  	MOVFF       R10, 22
0x002C	0xF015C00B  	MOVFF       R11, 21
;ProgramMode_Test.c,32 :: 		USB_Interrupt_Proc();                   // USB servicing is done inside the interrupt
0x0030	0xF027CFE1  	MOVFF       FSR1L, 39
0x0034	0xF028CFE2  	MOVFF       FSR1H, 40
0x0038	0xF025CFE9  	MOVFF       FSR0L, 37
0x003C	0xF026CFEA  	MOVFF       FSR0H, 38
0x0040	0xF023CFF3  	MOVFF       PROD, 35
0x0044	0xF024CFF4  	MOVFF       PRODH, 36
0x0048	0xF022CFF5  	MOVFF       TABLAT, 34
0x004C	0xF01FCFF8  	MOVFF       TBLPTRU, 31
0x0050	0xF020CFF7  	MOVFF       TBLPTRH, 32
0x0054	0xF021CFF6  	MOVFF       4086, 33
0x0058	0xF009EC41  	CALL        _USB_Interrupt_Proc, 0
;ProgramMode_Test.c,33 :: 		}
L_end_interrupt:
L__interrupt23:
0x005C	0xFFF5C022  	MOVFF       34, TABLAT
0x0060	0xFFF8C01F  	MOVFF       31, TBLPTRU
0x0064	0xFFF7C020  	MOVFF       32, TBLPTRH
0x0068	0xFFF6C021  	MOVFF       33, 4086
0x006C	0xFFF3C023  	MOVFF       35, PROD
0x0070	0xFFF4C024  	MOVFF       36, PRODH
0x0074	0xF000C01E  	MOVFF       30, R0
0x0078	0xF001C01D  	MOVFF       29, R1
0x007C	0xF002C01C  	MOVFF       28, R2
0x0080	0xF003C01B  	MOVFF       27, R3
0x0084	0xF004C01A  	MOVFF       26, R4
0x0088	0xF005C019  	MOVFF       25, R5
0x008C	0xF008C018  	MOVFF       24, R8
0x0090	0xF009C017  	MOVFF       23, R9
0x0094	0xF00AC016  	MOVFF       22, R10
0x0098	0xF00BC015  	MOVFF       21, R11
0x009C	0xFFE9C025  	MOVFF       37, FSR0L
0x00A0	0xFFEAC026  	MOVFF       38, FSR0H
0x00A4	0xFFE1C027  	MOVFF       39, FSR1L
0x00A8	0xFFE2C028  	MOVFF       40, FSR1H
0x00AC	0x0011      	RETFIE      1
; end of _interrupt
__Lib_USB_genHID_USB_CB_Init_EP:
;__Lib_USB_genHID.c,4490 :: 		
;__Lib_USB_genHID.c,4491 :: 		
0x00AE	0x0E1E      	MOVLW       30
0x00B0	0x6E71      	MOVWF       UEP1 
;__Lib_USB_genHID.c,4493 :: 		
0x00B2	0x0E10      	MOVLW       __Lib_USB_genHID_BDT+16
0x00B4	0x0100      	MOVLB       0
0x00B6	0x6F9B      	MOVWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 1
0x00B8	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_BDT+16)
0x00BA	0x6F9C      	MOVWF       __Lib_USB_genHID_BDTEntry_OutPtr+3, 1
;__Lib_USB_genHID.c,4494 :: 		
0x00BC	0xFFE1C09B  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x00C0	0xFFE2C09C  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x00C4	0x9EE6      	BCF         POSTINC1, 7 
;__Lib_USB_genHID.c,4495 :: 		
0x00C6	0xFFE1C09B  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x00CA	0xFFE2C09C  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x00CE	0x9CE6      	BCF         POSTINC1, 6 
;__Lib_USB_genHID.c,4496 :: 		
0x00D0	0x0E04      	MOVLW       4
0x00D2	0x259B      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x00D4	0x6EE1      	MOVWF       FSR1L 
0x00D6	0x0E00      	MOVLW       0
0x00D8	0x219C      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0, 1
0x00DA	0x6EE2      	MOVWF       FSR1H 
0x00DC	0x8CE6      	BSF         POSTINC1, 6 
;__Lib_USB_genHID.c,4498 :: 		
0x00DE	0x0E18      	MOVLW       __Lib_USB_genHID_BDT+24
0x00E0	0x6FA5      	MOVWF       __Lib_USB_genHID_BDTEntry_InPtr+2, 1
0x00E2	0x0E04      	MOVLW       hi_addr(__Lib_USB_genHID_BDT+24)
0x00E4	0x6FA6      	MOVWF       __Lib_USB_genHID_BDTEntry_InPtr+3, 1
;__Lib_USB_genHID.c,4499 :: 		
0x00E6	0xFFE1C0A5  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+2, FSR1L
0x00EA	0xFFE2C0A6  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+3, FSR1H
0x00EE	0x9EE6      	BCF         POSTINC1, 7 
;__Lib_USB_genHID.c,4500 :: 		
0x00F0	0xFFE1C0A5  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+2, FSR1L
0x00F4	0xFFE2C0A6  	MOVFF       __Lib_USB_genHID_BDTEntry_InPtr+3, FSR1H
0x00F8	0x9CE6      	BCF         POSTINC1, 6 
;__Lib_USB_genHID.c,4501 :: 		
0x00FA	0x0E04      	MOVLW       4
0x00FC	0x25A5      	ADDWF       __Lib_USB_genHID_BDTEntry_InPtr+2, 0, 1
0x00FE	0x6EE1      	MOVWF       FSR1L 
0x0100	0x0E00      	MOVLW       0
0x0102	0x21A6      	ADDWFC      __Lib_USB_genHID_BDTEntry_InPtr+3, 0, 1
0x0104	0x6EE2      	MOVWF       FSR1H 
0x0106	0x8CE6      	BSF         POSTINC1, 6 
;__Lib_USB_genHID.c,4503 :: 		
0x0108	0x0E02      	MOVLW       2
0x010A	0x259B      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x010C	0x6EE1      	MOVWF       FSR1L 
0x010E	0x0E00      	MOVLW       0
0x0110	0x219C      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0, 1
0x0112	0x6EE2      	MOVWF       FSR1H 
0x0114	0xFFE6C043  	MOVFF       __Lib_USB_genHID_USB_Read_Buffer, POSTINC1
0x0118	0xFFE6C044  	MOVFF       __Lib_USB_genHID_USB_Read_Buffer+1, POSTINC1
;__Lib_USB_genHID.c,4504 :: 		
0x011C	0x0E01      	MOVLW       1
0x011E	0x259B      	ADDWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x0120	0x6EE1      	MOVWF       FSR1L 
0x0122	0x0E00      	MOVLW       0
0x0124	0x219C      	ADDWFC      __Lib_USB_genHID_BDTEntry_OutPtr+3, 0, 1
0x0126	0x6EE2      	MOVWF       FSR1H 
0x0128	0x0E40      	MOVLW       64
0x012A	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,4505 :: 		
0x012C	0xFFE9C09B  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR0L
0x0130	0xFFEAC09C  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR0H
0x0134	0xF000CFEE  	MOVFF       POSTINC0, R0
0x0138	0xFFE1C09B  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x013C	0xFFE2C09C  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x0140	0x0E40      	MOVLW       64
0x0142	0x1400      	ANDWF       R0, 0 
0x0144	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,4506 :: 		
0x0146	0xFFE9C09B  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR0L
0x014A	0xFFEAC09C  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR0H
0x014E	0xF000CFEE  	MOVFF       POSTINC0, R0
0x0152	0xFFE1C09B  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, FSR1L
0x0156	0xFFE2C09C  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, FSR1H
0x015A	0x0E88      	MOVLW       136
0x015C	0x1000      	IORWF       R0, 0 
0x015E	0x6EE6      	MOVWF       POSTINC1 
;__Lib_USB_genHID.c,4507 :: 		
0x0160	0xF09DC09B  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+2, __Lib_USB_genHID_USB_Out_Handle
0x0164	0xF09EC09C  	MOVFF       __Lib_USB_genHID_BDTEntry_OutPtr+3, __Lib_USB_genHID_USB_Out_Handle+1
;__Lib_USB_genHID.c,4509 :: 		
0x0168	0x0E04      	MOVLW       4
0x016A	0x199B      	XORWF       __Lib_USB_genHID_BDTEntry_OutPtr+2, 0, 1
0x016C	0x6E00      	MOVWF       R0 
0x016E	0xF09BC000  	MOVFF       R0, __Lib_USB_genHID_BDTEntry_OutPtr+2
;__Lib_USB_genHID.c,4524 :: 		
L_end_USB_CB_Init_EP:
0x0172	0x0012      	RETURN      0
; end of __Lib_USB_genHID_USB_CB_Init_EP
_Mul_16X16_U:
;__Lib_Math.c,440 :: 		
;__Lib_Math.c,447 :: 		
0x0174	0x6A0B      	CLRF        R11, 0
;__Lib_Math.c,448 :: 		
0x0176	0x6A0A      	CLRF        R10, 0
;__Lib_Math.c,449 :: 		
0x0178	0x6A09      	CLRF        R9, 0
;__Lib_Math.c,450 :: 		
0x017A	0x5000      	MOVF        R0, 0, 0
;__Lib_Math.c,451 :: 		
0x017C	0x0204      	MULWF       R4, 0
;__Lib_Math.c,453 :: 		
0x017E	0xF009CFF4  	MOVFF       PRODH, R9
;__Lib_Math.c,454 :: 		
0x0182	0xF008CFF3  	MOVFF       PRODL, R8
;__Lib_Math.c,455 :: 		
0x0186	0x5001      	MOVF        R1, 0, 0
;__Lib_Math.c,456 :: 		
0x0188	0x0205      	MULWF       R5, 0
;__Lib_Math.c,458 :: 		
0x018A	0xF00BCFF4  	MOVFF       PRODH, R11
;__Lib_Math.c,459 :: 		
0x018E	0xF00ACFF3  	MOVFF       PRODL, R10
;__Lib_Math.c,460 :: 		
0x0192	0x5000      	MOVF        R0, 0, 0
;__Lib_Math.c,461 :: 		
0x0194	0x0205      	MULWF       R5, 0
;__Lib_Math.c,463 :: 		
0x0196	0x50F3      	MOVF        PRODL, 0, 0
;__Lib_Math.c,464 :: 		
0x0198	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,465 :: 		
0x019A	0x50F4      	MOVF        PRODH, 0, 0
;__Lib_Math.c,466 :: 		
0x019C	0x220A      	ADDWFC      R10, 1, 0
;__Lib_Math.c,467 :: 		
0x019E	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,468 :: 		
0x01A0	0x220B      	ADDWFC      R11, 1, 0
;__Lib_Math.c,469 :: 		
0x01A2	0x5001      	MOVF        R1, 0, 0
;__Lib_Math.c,470 :: 		
0x01A4	0x0204      	MULWF       R4, 0
;__Lib_Math.c,472 :: 		
0x01A6	0x50F3      	MOVF        PRODL, 0, 0
;__Lib_Math.c,473 :: 		
0x01A8	0x2609      	ADDWF       R9, 1, 0
;__Lib_Math.c,474 :: 		
0x01AA	0x50F4      	MOVF        PRODH, 0, 0
;__Lib_Math.c,475 :: 		
0x01AC	0x220A      	ADDWFC      R10, 1, 0
;__Lib_Math.c,476 :: 		
0x01AE	0x6AE8      	CLRF        WREG, 0
;__Lib_Math.c,477 :: 		
0x01B0	0x220B      	ADDWFC      R11, 1, 0
;__Lib_Math.c,479 :: 		
0x01B2	0xF000C008  	MOVFF       R8, R0
;__Lib_Math.c,480 :: 		
0x01B6	0xF001C009  	MOVFF       R9, R1
;__Lib_Math.c,481 :: 		
0x01BA	0xF002C00A  	MOVFF       R10, R2
;__Lib_Math.c,482 :: 		
0x01BE	0xF003C00B  	MOVFF       R11, R3
;__Lib_Math.c,485 :: 		
L_end_Mul_16X16_U:
0x01C2	0x0012      	RETURN      0
; end of _Mul_16X16_U
__Lib_USB_genHID_USB_Std_Feature_Req_Handler:
;__Lib_USB_genHID.c,3481 :: 		
;__Lib_USB_genHID.c,3487 :: 		
0x01C4	0x0104      	MOVLB       4
0x01C6	0x5122      	MOVF        1058, 0, 1
0x01C8	0x0A01      	XORLW       1
0x01CA	0xE10F      	BNZ         L___Lib_USB_genHID_USB_Std_Feature_Req_Handler136
0x01CC	0xF001C420  	MOVFF       __Lib_USB_genHID_SetupPkt, R1
0x01D0	0x0E1F      	MOVLW       31
0x01D2	0x1601      	ANDWF       R1, 1 
0x01D4	0x5001      	MOVF        R1, 0 
0x01D6	0x0A00      	XORLW       0
0x01D8	0xE108      	BNZ         L___Lib_USB_genHID_USB_Std_Feature_Req_Handler136
L___Lib_USB_genHID_USB_Std_Feature_Req_Handler274:
;__Lib_USB_genHID.c,3488 :: 		
0x01DA	0x8E40      	BSF         __Lib_USB_genHID_inPipes+3, 7 
;__Lib_USB_genHID.c,3489 :: 		
0x01DC	0x5121      	MOVF        1057, 0, 1
0x01DE	0x0A03      	XORLW       3
0x01E0	0xE103      	BNZ         L___Lib_USB_genHID_USB_Std_Feature_Req_Handler137
;__Lib_USB_genHID.c,3490 :: 		
0x01E2	0x0E01      	MOVLW       1
0x01E4	0x6E45      	MOVWF       __Lib_USB_genHID_RemoteWakeup 
0x01E6	0xD001      	BRA         L___Lib_USB_genHID_USB_Std_Feature_Req_Handler138
L___Lib_USB_genHID_USB_Std_Feature_Req_Handler137:
;__Lib_USB_genHID.c,3492 :: 		
0x01E8	0x6A45      	CLRF        __Lib_USB_genHID_RemoteWakeup 
L___Lib_USB_genHID_USB_Std_Feature_Req_Handler138:
;__Lib_USB_genHID.c,3493 :: 		
L___Lib_USB_genHID_USB_Std_Feature_Req_Handler136:
;__Lib_USB_genHID.c,3496 :: 		
0x01EA	0x5122      	MOVF        1058, 0, 1
0x01EC	0x0A00      	XORLW       0
0x01EE	0xA4D8      	BTFSS       STATUS, 2 
0x01F0	0xD08B      	BRA         L___Lib_USB_genHID_USB_Std_Feature_Req_Handler141
0x01F2	0xF001C420  	MOVFF       __Lib_USB_genHID_SetupPkt, R1
0x01F6	0x0E1F      	MOVLW       31
0x01F8	0x1601      	ANDWF       R1, 1 
0x01FA	0x5001      	MOVF        R1, 0 
0x01FC	0x0A02      	XORLW       2
0x01FE	0xA4D8      	BTFSS       STATUS, 2 
0x0200	0xD083      	BRA         L___Lib_USB_genHID_USB_Std_Feature_Req_Handler141
;__Lib_USB_genHID.c,3497 :: 		
0x0202	0xF001C424  	MOVFF       1060, R1
0x0206	0x0E0F      	MOVLW       15
0x0208	0x1601      	ANDWF       R1, 1 
0x020A	0x5001      	MOVF        R1, 0 
0x020C	0x0A00      	XORLW       0
0x020E	0xB4D8      	BTFSC       STATUS, 2 
0x0210	0xD07B      	BRA         L___Lib_USB_genHID_USB_Std_Feature_Req_Handler141
L___Lib_USB_genHID_USB_Std_Feature_Req_Handler273:
;__Lib_USB_genHID.c,3498 :: 		
0x0212	0x8E40      	BSF         __Lib_USB_genHID_inPipes+3, 7 
;__Lib_USB_genHID.c,3501 :: 		
0x0214	0xBF24      	BTFSC       1060, 7, 1
0x0216	0xD016      	BRA         L___Lib_USB_genHID_USB_Std_Feature_Req_Handler142
;__Lib_USB_genHID.c,3502 :: 		
0x0218	0xF003C424  	MOVFF       1060, R3
0x021C	0x0E0F      	MOVLW       15
0x021E	0x1603      	ANDWF       R3, 1 
0x0220	0xF000C003  	MOVFF       R3, R0
0x0224	0x0E00      	MOVLW       0
0x0226	0x6E01      	MOVWF       R1 
0x0228	0x3600      	RLCF        R0, 1 
0x022A	0x9000      	BCF         R0, 0 
0x022C	0x3601      	RLCF        R1, 1 
0x022E	0x0E99      	MOVLW       __Lib_USB_genHID_BDTEntry_OutPtr
0x0230	0x2400      	ADDWF       R0, 0 
0x0232	0x6EE9      	MOVWF       FSR0L 
0x0234	0x0E00      	MOVLW       hi_addr(__Lib_USB_genHID_BDTEntry_OutPtr)
0x0236	0x2001      	ADDWFC      R1, 0 
0x0238	0x6EEA      	MOVWF       FSR0H 
0x023A	0xF004CFEE  	MOVFF       POSTINC0, R4
0x023E	0xF005CFEE  	MOVFF       POSTINC0, R5
;__Lib_USB_genHID.c,3503 :: 		
0x0242	0xD015      	BRA         L___Lib_USB_genHID_USB_Std_Feature_Req_Handler143
L___Lib_USB_genHID_USB_Std_Feature_Req_Handler142:
;__Lib_USB_genHID.c,3504 :: 		
0x0244	0xF003C424  	MOVFF       1060, R3
0x0248	0x0E0F      	MOVLW       15
0x024A	0x1603      	ANDWF       R3, 1 
